date;series_1;series_2
07.06.03;9582.46;3452.64
08.06.03;9608.16;3517.1
09.06.03;9748.31;3586.93
10.06.03;9774.53;3615.42
11.06.03;9801.12;3655.99
12.06.03;9858.46;3744.5
13.06.03;9838.83;3741.71
14.06.03;9820.83;3717.7
15.06.03;9856.97;3733.93
16.06.03;9809.79;3782.56
17.06.03;9756.53;3746.24
18.06.03;9848.83;3748.34
19.06.03;9837.94;3765.59
20.06.03;9768.68;3797.4
21.06.03;9710.83;3674.54
22.06.03;9624.16;3666.28
23.06.03;9690.46;3652.29
24.06.03;9619.42;3638.04
25.06.03;9747.79;3737.09
26.06.03;9763.94;3733.16
27.06.03;9779.57;3712.98
28.06.03;9779.57;3744.99
29.06.03;9782.46;3745.95
30.06.03;9899.05;3821.2
01.07.03;9853.64;3809.26
02.07.03;9873.42;3875.66
03.07.03;9930.82;3874.78
04.07.03;9862.68;3841.73
05.07.03;9965.27;3806.54
06.07.03;9923.42;3846.18
07.07.03;9921.86;3820.92
08.07.03;10008.16;3858.85
09.07.03;10042.16;3860.13
10.07.03;10022.82;3875.47
11.07.03;10129.56;3865.98
12.07.03;10145.26;3847.57
13.07.03;10248.08;3870.88
14.07.03;10338.0;3876.94
15.07.03;10341.26;3903.34
16.07.03;10305.19;3903.34
17.07.03;10305.19;3903.34
18.07.03;10324.67;3903.34
19.07.03;10450.0;3952.72
20.07.03;10453.92;3965.16
21.07.03;10409.85;4018.5
22.07.03;10544.07;4035.9
23.07.03;10538.66;4035.44
24.07.03;10529.03;4004.4
25.07.03;10458.89;4016.18
26.07.03;10427.18;3996.22
27.07.03;10538.37;4055.21
28.07.03;10553.85;4068.75
29.07.03;10600.51;4111.64
30.07.03;10600.51;4139.92
31.07.03;10528.66;4106.41
01.08.03;10623.62;4138.04
02.08.03;10623.18;4139.86
03.08.03;10568.29;4151.83
04.08.03;10702.51;4128.68
05.08.03;10609.92;4134.42
06.08.03;10468.37;4150.24
07.08.03;10510.29;4095.71
08.08.03;10488.07;4058.6
09.08.03;10499.18;4071.6
10.08.03;10505.18;4057.51
11.08.03;10470.74;4028.37
12.08.03;10495.55;4014.79
13.08.03;10593.03;4044.99
14.08.03;10613.85;4110.8
15.08.03;10737.7;4122.16
16.08.03;10627.85;4057.05
17.08.03;10627.85;4070.46
18.08.03;10671.99;4095.34
19.08.03;10664.73;4141.53
20.08.03;10619.03;4073.35
21.08.03;10609.62;4068.71
22.08.03;10566.37;3991.42
23.08.03;10601.62;3995.34
24.08.03;10580.14;4007.81
25.08.03;10583.92;4018.16
26.08.03;10591.48;4100.34
27.08.03;10593.11;4071.7
28.08.03;10588.0;4133.78
29.08.03;10595.55;4126.14
30.08.03;10529.48;4145.99
31.08.03;10456.96;4087.55
01.09.03;10296.89;4044.7
02.09.03;10128.38;3904.95
03.09.03;10240.08;3915.38
04.09.03;10102.89;3810.76
05.09.03;10184.67;3822.37
06.09.03;10186.6;3819.15
07.09.03;10064.75;3729.23
08.09.03;10063.64;3728.82
09.09.03;10048.23;3726.07
10.09.03;10218.82;3811.92
11.09.03;10329.63;3881.25
12.09.03;10357.7;3856.7
13.09.03;10373.33;3924.85
14.09.03;10470.59;4007.6
15.09.03;10558.37;4048.6
16.09.03;10570.81;4022.81
17.09.03;10480.15;4001.16
18.09.03;10442.03;4013.53
19.09.03;10442.03;4013.53
20.09.03;10515.56;4013.53
21.09.03;10381.28;4071.42
22.09.03;10377.95;4012.77
23.09.03;10397.46;4004.61
24.09.03;10314.5;4061.13
25.09.03;10317.27;4026.15
26.09.03;10461.2;4059.15
27.09.03;10472.84;4103.62
28.09.03;10444.73;4125.83
29.09.03;10478.16;4134.1
30.09.03;10342.6;4065.74
01.10.03;10272.27;4008.91
02.10.03;10225.57;3985.21
03.10.03;10314.0;4007.65
04.10.03;10317.2;3990.75
05.10.03;10310.95;4022.1
06.10.03;10241.26;3909.46
07.10.03;10117.34;3895.64
08.10.03;9990.02;3784.61
09.10.03;10019.47;3849.84
10.10.03;10045.16;3776.24
11.10.03;10010.74;3824.93
12.10.03;9906.91;3754.37
13.10.03;9968.51;3789.24
14.10.03;9937.71;3872.26
15.10.03;9937.64;3839.32
16.10.03;9966.74;3831.84
